c,h,l,o,pc,t,timestamp,symbol
202.38,213.58,201.5,210.865,207.57,1754092799,1754276610,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276611,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276613,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276615,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276616,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276618,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276619,AAPL
