c,h,l,o,pc,t,timestamp,symbol
202.38,213.58,201.5,210.865,207.57,1754092799,1754276601,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276602,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276604,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276605,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276607,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754276608,AAPL
