c,h,l,o,pc,t,timestamp,symbol
202.38,213.58,201.5,210.865,207.57,1754092799,1754275381,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754275382,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754275384,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754275385,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754275387,AAPL
202.38,213.58,201.5,210.865,207.57,1754092799,1754275388,AAPL
